HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	376.9032
DEPTH_LSF	GR
m	gAPI
173.2968	59.2028
173.4492	55.7916
173.6016	53.3165
173.7540	52.0532
173.9064	55.4684
174.0588	60.2848
174.2112	61.0775
174.3636	60.0632
174.5160	60.2028
174.6684	57.8551
174.8208	56.5780
174.9732	54.7584
175.1256	54.9464
175.2780	56.5934
175.4304	56.7767
175.5828	57.8772
175.7352	57.2406
175.8876	58.4952
176.0400	59.2836
176.1924	60.6839
176.3448	61.6332
176.4972	63.0303
176.6496	62.7664
176.8020	62.7205
176.9544	61.8106
177.1068	61.2231
177.2592	60.2257
177.4116	57.6687
177.5640	54.7414
177.7164	54.4936
177.8688	55.2092
178.0212	57.4130
178.1736	57.5509
178.3260	58.0185
178.4784	56.7864
178.6308	55.4355
178.7832	57.3065
178.9356	61.2188
179.0880	61.8825
179.2404	61.2647
179.3928	58.5755
179.5452	58.0219
179.6976	56.4034
179.8500	61.4423
180.0024	63.7154
180.1548	64.6346
180.3072	60.3263
180.4596	60.2150
180.6120	62.7720
180.7644	62.5039
180.9168	59.5919
181.0692	57.4861
181.2216	58.7686
181.3740	59.5808
181.5264	59.2128
181.6788	56.7353
181.8312	55.8376
181.9836	54.9897
182.1360	58.0007
182.2884	61.8461
182.4408	63.7974
182.5932	62.1867
182.7456	58.8824
182.8980	58.3413
183.0504	60.8823
183.2028	63.5370
183.3552	63.2195
183.5076	62.0210
183.6600	61.5678
183.8124	61.5189
183.9648	58.9732
184.1172	56.9543
184.2696	56.3889
184.4220	58.0203
184.5744	58.2144
184.7268	58.8287
184.8792	57.9266
185.0316	60.4828
185.1840	62.0693
185.3364	62.9851
185.4888	62.9055
185.6412	60.2029
185.7936	59.7384
185.9460	56.6390
186.0984	58.3381
186.2508	60.7103
186.4032	62.4955
186.5556	63.4962
186.7080	60.8417
186.8604	59.9679
187.0128	60.4660
187.1652	64.1259
187.3176	62.3639
187.4700	63.4308
187.6224	61.9813
187.7748	65.8198
187.9272	62.9803
188.0796	62.7063
188.2320	59.6024
188.3844	59.6977
188.5368	59.5100
188.6892	61.9386
188.8416	59.8274
188.9940	58.2654
189.1464	53.4567
189.2988	55.2889
189.4512	54.9201
189.6036	61.0523
189.7560	60.2147
189.9084	61.7851
190.0608	58.1201
190.2132	60.0509
190.3656	60.6857
190.5180	60.3145
190.6704	59.0954
190.8228	58.8149
190.9752	62.3010
191.1276	61.7031
191.2800	60.0641
191.4324	58.5971
191.5848	57.9732
191.7372	56.3211
191.8896	56.1336
192.0420	58.1959
192.1944	58.0478
192.3468	58.8722
192.4992	58.2832
192.6516	64.8703
192.8040	63.5935
192.9564	64.7453
193.1088	61.6868
193.2612	64.5369
193.4136	63.4078
193.5660	63.8690
193.7184	61.4972
193.8708	63.0924
194.0232	60.2595
194.1756	59.5106
194.3280	59.2320
194.4804	60.6978
194.6328	60.9641
194.7852	59.2339
194.9376	59.7840
195.0900	60.4473
195.2424	63.2763
195.3948	65.1040
195.5472	63.4874
195.6996	62.0295
195.8520	62.9457
196.0044	66.2198
196.1568	64.2021
196.3092	63.1867
196.4616	62.1203
196.6140	63.7645
196.7664	60.1914
196.9188	59.5756
197.0712	57.9273
197.2236	57.7955
197.3760	62.4770
197.5284	63.9427
197.6808	64.3511
197.8332	57.1335
197.9856	58.2364
198.1380	58.2334
198.2904	61.1432
198.4428	59.8594
198.5952	62.8878
198.7476	61.5157
198.9000	58.8217
199.0524	56.6268
199.2048	56.8069
199.3572	59.6171
199.5096	59.4387
199.6620	59.5301
199.8144	59.4133
199.9668	58.4144
200.1192	59.1471
200.2716	59.3711
200.4240	61.4667
200.5764	59.7315
200.7288	60.5132
200.8812	60.8710
201.0336	63.2181
201.1860	63.4975
201.3384	64.2335
201.4908	61.7952
201.6432	59.4044
201.7956	60.8682
201.9480	63.6148
202.1004	70.9462
202.2528	68.4806
202.4052	66.0035
202.5576	61.4946
202.7100	61.2155
202.8624	65.5228
203.0148	65.1249
203.1672	63.9332
203.3196	63.2937
203.4720	61.3314
203.6244	61.3566
203.7768	59.2757
203.9292	60.3786
204.0816	62.5458
204.2340	62.2441
204.3864	63.3686
204.5388	61.6310
204.6912	60.0752
204.8436	59.0439
204.9960	60.5882
205.1484	63.6016
205.3008	62.8669
205.4532	58.4680
205.6056	57.7446
205.7580	59.3934
205.9104	63.5730
206.0628	65.2563
206.2152	62.3214
206.3676	59.9017
206.5200	61.0252
206.6724	62.9283
206.8248	68.6656
206.9772	65.6191
207.1296	66.7429
207.2820	62.5679
207.4344	63.8057
207.5868	60.6230
207.7392	59.9128
207.8916	58.6440
208.0440	61.6413
208.1964	63.2440
208.3488	63.8748
208.5012	62.4580
208.6536	61.0400
208.8060	61.9638
208.9584	63.7116
209.1108	64.5144
209.2632	65.7941
209.4156	66.2943
