HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
56.1012	1.5755	0.0802	0.1185	2.7903
56.2536	1.5786	0.0803	0.1156	2.8421
56.4060	1.5801	0.0815	0.0651	2.6769
56.5584	1.5813	0.0771	0.1199	2.7991
56.7108	1.5904	0.0781	0.1775	2.8190
56.8632	1.5915	0.0748	0.1616	2.9681
57.0156	1.5999	0.0716	0.1360	3.0159
57.1680	1.5942	0.0556	0.1037	3.0386
57.3204	1.6097	0.0576	0.1057	3.0383
57.4728	1.5957	0.0495	0.1465	3.0118
57.6252	1.5953	0.0484	0.1268	2.9508
57.7776	1.5882	0.0303	0.1112	2.9131
57.9300	1.6188	0.0304	0.0952	2.8636
58.0824	1.6384	0.0343	0.1039	2.8429
58.2348	1.6522	0.0379	0.0790	2.8471
58.3872	1.6418	0.0365	0.0374	2.8566
58.5396	1.6401	0.0390	0.0370	2.9516
58.6920	1.6410	0.0448	0.0538	2.8986
58.8444	1.6281	0.0472	0.0917	2.9446
58.9968	1.6042	0.0430	0.1426	2.8805
59.1492	1.5901	0.0379	0.1518	2.9590
59.3016	1.5745	0.0289	0.1366	3.0010
59.4540	1.5885	0.0309	0.0836	3.0663
59.6064	1.5926	0.0190	0.0780	2.9308
59.7588	1.6204	0.0221	0.0356	2.9016
59.9112	1.6332	0.0283	0.0274	2.9633
60.0636	1.6447	0.0368	0.0883	3.1774
60.2160	1.6479	0.0386	0.1028	3.1637
60.3684	1.6573	0.0419	0.0963	3.1063
60.5208	1.6688	0.0459	0.0832	3.1785
60.6732	1.6806	0.0527	0.1019	3.3895
60.8256	1.6857	0.0577	0.1089	3.3797
60.9780	1.6915	0.0639	0.1045	3.2700
61.1304	1.6987	0.0671	0.0969	3.1421
61.2828	1.7070	0.0684	0.0688	3.2268
61.4352	1.7106	0.0676	0.0783	3.1045
61.5876	1.7078	0.0634	0.0921	3.0846
61.7400	1.6959	0.0602	0.1437	3.0104
61.8924	1.6867	0.0654	0.1508	3.1823
62.0448	1.6661	0.0611	0.1609	3.1640
62.1972	1.6608	0.0583	0.1406	3.0636
62.3496	1.6643	0.0535	0.1028	3.0182
62.5020	1.6797	0.0560	0.0651	3.0466
62.6544	1.6725	0.0476	0.0657	3.1749
62.8068	1.6596	0.0448	0.1031	3.3390
62.9592	1.6463	0.0372	0.1479	3.3085
