HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	380.1036
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
6.4493	0.7710	0.6764	0.4684	0.7924	0.7936
6.4798	0.8036	0.6973	0.5178	0.7756	0.7994
6.5102	0.8071	0.7043	0.5806	0.8136	0.8038
6.5407	0.7969	0.6994	0.5827	0.7870	0.7905
6.5712	0.8146	0.6865	0.4701	0.8095	0.8000
6.6017	0.8123	0.7028	0.4799	0.7905	0.7999
6.6322	0.7759	0.8417	0.5226	0.8005	0.7960
6.6626	0.7847	0.7481	0.5491	0.8151	0.7963
6.6931	0.7702	0.6813	0.5083	0.7757	0.7958
6.7236	0.7783	0.6933	0.4799	0.7991	0.8011
6.7541	0.7853	0.7486	0.5229	0.8001	0.8082
6.7846	0.7654	0.7973	0.6462	0.8036	0.8025
6.8150	0.8023	0.7531	0.5880	0.8152	0.7878
6.8455	0.8594	0.7068	0.4994	0.8101	0.8125
6.8760	0.7899	0.7769	0.4604	0.7864	0.8097
6.9065	0.8391	0.8013	0.5106	0.8296	0.8015
6.9370	0.8497	0.7780	0.5456	0.8162	0.8004
6.9674	0.8366	0.7310	0.5022	0.8181	0.8128
6.9979	0.8697	0.6944	0.5497	0.8080	0.8027
7.0284	0.8737	0.7084	0.5489	0.8149	0.8237
7.0589	0.8388	0.7345	0.5834	0.8178	0.7970
7.0894	0.8207	0.7373	0.5361	0.8079	0.8023
7.1198	0.8333	0.7517	0.5160	0.8395	0.8153
7.1503	0.7869	0.7356	0.5335	0.8009	0.8187
7.1808	0.7637	0.6771	0.5609	0.7444	0.8076
7.2113	0.8093	0.6816	0.5612	0.8079	0.8159
7.2418	0.8391	0.7666	0.5067	0.8355	0.8145
7.2722	0.8497	0.8023	0.4319	0.8306	0.8141
7.3027	0.7843	0.7412	0.4958	0.7984	0.8244
7.3332	0.7839	0.7345	0.5107	0.7382	0.8088
7.3637	0.7538	0.7506	0.4669	0.8450	0.8109
7.3942	0.7331	0.6099	0.4945	0.7324	0.8162
7.4246	0.7243	0.7059	0.5486	0.7207	0.8179
7.4551	0.7309	0.6795	0.5061	0.7222	0.8142
7.4856	0.7449	0.6232	0.4407	0.7638	0.8204
7.5161	0.7300	0.6463	0.4953	0.7819	0.8223
7.5466	0.7102	0.6862	0.4084	0.7120	0.8224
7.5770	0.7173	0.6714	0.4591	0.7189	0.8231
7.6075	0.7160	0.5834	0.5053	0.7197	0.8213
7.6380	0.6969	0.6497	0.4305	0.7196	0.8199
7.6685	0.7038	0.5741	0.4419	0.7212	0.8297
7.6990	0.7101	0.5939	0.4578	0.7420	0.8211
7.7294	0.7047	0.6288	0.4332	0.7375	0.8238
7.7599	0.7032	0.6097	0.4171	0.7261	0.8253
7.7904	0.7217	0.6040	0.4241	0.7237	0.8296
7.8209	0.7248	0.5875	0.4457	0.7297	0.8275
7.8514	0.7016	0.6172	0.4099	0.7307	0.8174
7.8818	0.7137	0.6143	0.4364	0.7214	0.8437
7.9123	0.7475	0.5904	0.4627	0.7289	0.8250
7.9428	0.7285	0.6143	0.4722	0.8130	0.8329
7.9733	0.7173	0.5902	0.4578	0.7406	0.8254
8.0038	0.7062	0.6309	0.4214	0.7832	0.8214
8.0342	0.7724	0.6562	0.4445	0.8020	0.8233
8.0647	0.7625	0.6598	0.4571	0.7826	0.8241
8.0952	0.7500	0.6782	0.4601	0.7805	0.8233
8.1257	0.8066	0.6065	0.4772	0.7942	0.8282
8.1562	0.8065	0.6373	0.4887	0.7889	0.8363
8.1866	0.7822	0.6512	0.4941	0.7771	0.8409
8.2171	0.7483	0.6657	0.5176	0.8196	0.8291
8.2476	0.7452	0.6899	0.4762	0.8044	0.8402
8.2781	0.7889	0.7001	0.4880	0.8216	0.8401
8.3086	0.7923	0.7158	0.5226	0.8253	0.8337
8.3390	0.7609	0.7670	0.5515	0.8281	0.8318
8.3695	0.7726	0.6949	0.5464	0.8216	0.8327
8.4000	0.7666	0.6846	0.5183	0.7726	0.8328
8.4305	0.8020	0.7257	0.4848	0.8009	0.8324
8.4610	0.8291	0.7818	0.4733	0.8291	0.8396
8.4914	0.8287	0.7674	0.4886	0.8270	0.8401
8.5219	0.8692	0.7350	0.4996	0.8120	0.8384
8.5524	0.8174	0.7163	0.5031	0.8322	0.8495
8.5829	0.8116	0.6995	0.5294	0.8080	0.8534
8.6134	0.8395	0.7044	0.5766	0.8396	0.8365
8.6438	0.8705	0.7357	0.5730	0.8350	0.8634
8.6743	0.8423	0.7011	0.6377	0.8276	0.8373
8.7048	0.7881	0.7205	0.5384	0.8354	0.8734
8.7353	0.7896	0.7656	0.6194	0.8418	0.8375
8.7658	0.7911	0.7944	0.5300	0.8216	0.8598
8.7962	0.8129	0.8870	0.5692	0.8271	0.8568
8.8267	0.8351	0.7534	0.5744	0.8311	0.8497
8.8572	0.7923	0.7747	0.5113	0.8286	0.8604
8.8877	0.8018	0.7372	0.5398	0.8282	0.8599
8.9182	0.8457	0.7544	0.5511	0.8394	0.8614
8.9486	0.8439	0.7628	0.5063	0.8177	0.8712
8.9791	0.9088	0.7228	0.5453	0.8299	0.8734
9.0096	0.8144	0.7369	0.5136	0.8329	0.8444
9.0401	0.8485	0.7569	0.5140	0.8269	0.8825
9.0706	0.8310	0.7158	0.6947	0.8260	0.8746
9.1010	0.8397	0.7698	0.4929	0.8341	0.8709
9.1315	0.8572	0.7251	0.5364	0.8414	0.8739
9.1620	0.8221	0.6985	0.5788	0.8338	0.8794
9.1925	0.8198	0.7897	0.5439	0.8291	0.8816
9.2230	0.8319	0.7113	0.4875	0.8425	0.8728
9.2534	0.8265	0.7066	0.5784	0.8524	0.8843
9.2839	0.8161	0.7392	0.6181	0.8435	0.8576
9.3144	0.7989	0.7378	0.4981	0.8346	0.8849
9.3449	0.8008	0.6721	0.4503	0.8368	0.8847
9.3754	0.8883	0.7669	0.5313	0.8373	0.8800
9.4058	0.8166	0.8165	0.6117	0.8537	0.8791
9.4363	0.8055	0.6934	0.5635	0.8290	0.8832
