HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	DCAL
m	in
120.5664	0.1815
120.7188	0.1129
120.8712	0.1155
121.0236	0.1221
121.1760	0.1797
121.3284	0.1600
121.4808	0.1257
121.6332	0.1015
121.7856	0.1399
121.9380	0.1371
122.0904	0.1804
122.2428	0.1501
122.3952	0.1488
122.5476	0.1172
122.7000	0.0822
122.8524	0.0607
123.0048	0.0389
123.1572	0.0350
123.3096	0.0647
123.4620	0.1282
123.6144	0.1765
123.7668	0.1986
123.9192	0.1368
124.0716	0.0689
124.2240	0.0905
124.3764	0.1774
124.5288	0.2792
124.6812	0.2726
124.8336	0.2233
124.9860	0.1526
125.1384	0.0896
125.2908	0.1700
125.4432	0.2120
125.5956	0.2106
125.7480	0.0520
125.9004	0.0948
126.0528	0.1874
126.2052	0.0655
126.3576	0.0428
126.5100	0.0517
126.6624	0.0598
126.8148	0.0377
126.9672	0.0406
127.1196	0.0788
127.2720	0.0526
127.4244	0.1162
127.5768	0.2117
127.7292	0.2250
127.8816	0.2020
128.0340	0.2110
128.1864	0.1557
128.3388	0.1970
128.4912	0.2669
128.6436	0.5298
128.7960	0.6722
128.9484	0.6239
129.1008	0.3570
129.2532	0.1455
129.4056	0.1319
129.5580	0.2018
129.7104	0.3317
129.8628	0.4161
130.0152	0.4437
130.1676	0.3137
130.3200	0.2290
130.4724	0.1247
130.6248	0.1646
130.7772	0.1651
130.9296	0.1674
131.0820	0.1147
131.2344	0.0914
131.3868	0.0751
131.5392	0.1608
131.6916	0.1619
131.8440	0.1417
131.9964	0.0817
132.1488	0.1654
132.3012	0.1789
132.4536	0.1648
132.6060	0.1340
132.7584	0.1375
132.9108	0.1920
133.0632	0.1244
133.2156	0.0703
133.3680	0.0955
133.5204	0.1045
133.6728	0.1117
133.8252	0.1515
133.9776	0.0594
134.1300	0.0781
134.2824	0.1040
134.4348	0.1158
134.5872	0.1995
134.7396	0.1858
134.8920	0.1627
135.0444	0.1819
135.1968	0.2512
135.3492	0.2768
135.5016	0.2174
135.6540	0.1895
135.8064	0.1699
135.9588	0.1260
136.1112	0.1651
136.2636	0.1338
136.4160	0.0788
136.5684	0.0855
136.7208	0.1414
136.8732	0.0923
137.0256	0.1052
137.1780	0.2193
137.3304	0.1831
137.4828	0.1760
137.6352	0.1890
137.7876	0.1620
137.9400	0.0416
138.0924	0.1212
138.2448	0.3785
138.3972	0.6770
138.5496	0.7139
138.7020	0.4901
138.8544	0.2362
139.0068	0.1625
139.1592	0.1683
139.3116	0.1171
139.4640	0.0441
139.6164	0.0531
139.7688	0.1289
139.9212	0.1372
140.0736	0.0548
140.2260	0.0873
140.3784	0.1190
140.5308	0.2213
140.6832	0.1659
140.8356	0.1453
140.9880	0.0694
141.1404	0.1104
141.2928	0.1251
141.4452	0.1232
141.5976	0.1417
141.7500	0.1337
141.9024	0.1289
142.0548	0.1137
142.2072	0.0712
142.3596	0.1141
142.5120	0.0584
142.6644	0.0709
142.8168	0.1226
142.9692	0.0816
143.1216	0.0905
143.2740	0.1002
143.4264	0.0786
143.5788	0.0727
143.7312	0.1088
143.8836	0.0929
144.0360	0.0494
144.1884	0.0919
144.3408	0.0962
144.4932	0.1180
144.6456	0.1129
144.7980	0.1142
144.9504	0.0974
145.1028	0.1282
145.2552	0.1337
145.4076	0.1463
145.5600	0.1522
145.7124	0.1115
145.8648	0.1236
146.0172	0.0643
146.1696	0.0339
146.3220	0.0379
146.4744	0.0788
146.6268	0.0374
146.7792	0.1649
146.9316	0.2763
147.0840	0.3088
147.2364	0.1309
147.3888	0.0831
147.5412	0.2062
147.6936	0.1644
147.8460	0.1856
147.9984	0.1517
148.1508	0.1425
148.3032	0.1283
148.4556	0.2089
148.6080	0.1874
148.7604	0.0645
148.9128	0.0744
149.0652	0.1795
149.2176	0.1918
149.3700	0.1418
149.5224	0.1304
149.6748	0.1328
149.8272	0.1138
149.9796	0.0796
150.1320	0.1294
150.2844	0.2033
150.4368	0.2782
150.5892	0.2578
150.7416	0.2004
150.8940	0.1940
151.0464	0.2326
151.1988	0.2547
151.3512	0.1056
151.5036	0.0713
151.6560	0.0920
151.8084	0.1285
151.9608	0.1408
152.1132	0.2322
152.2656	0.1844
152.4180	0.1539
152.5704	0.0501
152.7228	0.0531
152.8752	0.1016
153.0276	0.2394
153.1800	0.3129
153.3324	0.2642
153.4848	0.1232
153.6372	0.0564
153.7896	0.0989
153.9420	0.0510
154.0944	0.0943
154.2468	0.1793
154.3992	0.1385
154.5516	0.1432
154.7040	0.0977
154.8564	0.1442
155.0088	0.1567
155.1612	0.1723
155.3136	0.1017
155.4660	0.1139
155.6184	0.0958
155.7708	0.1313
155.9232	0.1333
156.0756	0.0635
156.2280	0.0875
156.3804	0.1570
156.5328	0.1431
156.6852	0.1758
156.8376	0.1398
156.9900	0.1877
157.1424	0.2020
157.2948	0.1262
157.4472	0.0914
157.5996	0.0762
157.7520	0.1082
157.9044	0.1022
158.0568	0.1710
158.2092	0.2330
158.3616	0.2243
158.5140	0.1902
158.6664	0.1848
158.8188	0.1324
158.9712	0.1355
159.1236	0.1421
159.2760	0.2021
159.4284	0.2728
159.5808	0.2851
159.7332	0.0836
159.8856	0.1027
160.0380	0.1198
160.1904	0.1377
160.3428	0.1086
160.4952	0.0990
160.6476	0.1202
160.8000	0.1209
160.9524	0.1277
161.1048	0.1536
161.2572	0.0896
161.4096	0.0429
161.5620	0.0858
161.7144	0.0890
161.8668	0.0442
162.0192	0.0556
162.1716	0.0569
162.3240	0.0916
162.4764	0.0842
162.6288	0.1082
162.7812	0.1415
162.9336	0.1099
163.0860	0.1227
163.2384	0.1206
163.3908	0.0525
163.5432	0.1250
163.6956	0.1833
163.8480	0.1354
164.0004	0.0784
164.1528	0.0737
164.3052	0.1033
164.4576	0.1837
164.6100	0.2236
164.7624	0.2613
164.9148	0.2272
165.0672	0.1960
165.2196	0.1734
165.3720	0.1803
165.5244	0.1583
165.6768	0.1728
165.8292	0.1258
165.9816	0.0684
166.1340	0.3194
166.2864	0.3268
166.4388	0.3903
166.5912	0.0957
166.7436	0.1683
166.8960	0.1904
167.0484	0.3209
167.2008	0.3363
167.3532	0.4493
167.5056	0.5289
167.6580	0.5744
167.8104	0.5282
167.9628	0.5139
168.1152	0.4497
168.2676	0.4452
168.4200	0.4870
168.5724	0.3908
168.7248	0.3499
168.8772	0.3184
169.0296	0.3283
169.1820	0.2694
169.3344	0.2513
169.4868	0.1892
169.6392	0.1079
169.7916	0.0367
169.9440	0.0595
170.0964	0.1388
170.2488	0.2241
170.4012	0.1942
170.5536	0.1433
170.7060	0.1688
170.8584	0.2214
171.0108	0.2952
171.1632	0.3180
171.3156	0.3379
171.4680	0.3302
171.6204	0.2698
171.7728	0.2596
171.9252	0.2063
172.0776	0.1862
172.2300	0.1972
172.3824	0.3085
172.5348	0.3710
172.6872	0.3980
172.8396	0.4245
172.9920	0.4257
173.1444	0.3202
173.2968	0.3180
173.4492	0.3486
173.6016	0.2732
173.7540	0.1867
173.9064	0.2807
174.0588	0.2935
174.2112	0.2148
174.3636	0.1110
174.5160	0.0894
174.6684	0.0852
174.8208	0.0402
174.9732	0.0662
175.1256	0.0623
175.2780	0.0802
175.4304	0.1868
175.5828	0.1442
175.7352	0.1140
175.8876	0.1620
176.0400	0.2043
176.1924	0.1309
176.3448	0.0888
176.4972	0.1065
176.6496	0.2057
176.8020	0.2788
176.9544	0.2445
177.1068	0.3353
177.2592	0.5075
177.4116	0.4943
177.5640	0.1903
177.7164	0.0936
177.8688	0.0997
178.0212	0.0735
178.1736	0.0816
178.3260	0.1191
178.4784	0.0941
178.6308	0.0946
178.7832	0.1086
178.9356	0.1066
179.0880	0.1252
179.2404	0.1381
179.3928	0.1365
179.5452	0.1177
179.6976	0.1281
179.8500	0.1472
180.0024	0.1783
180.1548	0.1321
180.3072	0.1069
180.4596	0.1258
180.6120	0.0668
180.7644	0.0319
180.9168	0.1156
181.0692	0.1635
181.2216	0.1674
181.3740	0.1214
181.5264	0.1495
181.6788	0.1827
181.8312	0.1961
181.9836	0.1697
182.1360	0.0784
182.2884	0.1093
182.4408	0.1282
182.5932	0.1166
182.7456	0.1553
182.8980	0.1687
183.0504	0.1435
183.2028	0.1462
183.3552	0.1428
183.5076	0.1481
183.6600	0.1347
183.8124	0.1724
183.9648	0.2007
184.1172	0.3616
184.2696	0.7352
184.4220	0.7972
184.5744	0.5930
184.7268	0.3532
184.8792	0.2559
185.0316	0.2137
185.1840	0.1703
185.3364	0.1327
185.4888	0.1137
185.6412	0.0737
185.7936	0.0757
185.9460	0.0725
186.0984	0.1132
186.2508	0.1639
186.4032	0.1966
186.5556	0.1643
186.7080	0.0914
186.8604	0.1632
187.0128	0.0949
187.1652	0.1979
187.3176	0.2482
187.4700	0.1733
187.6224	0.0830
187.7748	0.1490
187.9272	0.1170
188.0796	0.0597
188.2320	0.1257
188.3844	0.1660
