HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	350.6904
DEPTH_LSF	TNPH
m	%
111.2700	63.8046
111.4224	61.9257
111.5748	64.0230
111.7272	63.7190
111.8796	62.2885
112.0320	63.4048
112.1844	60.8852
112.3368	61.5175
112.4892	59.4763
112.6416	59.6336
112.7940	63.7914
112.9464	62.1912
113.0988	60.1274
113.2512	57.2697
113.4036	58.1131
113.5560	60.1116
113.7084	56.0371
113.8608	55.1861
114.0132	56.2753
114.1656	60.1194
114.3180	62.0670
114.4704	65.0166
114.6228	64.1925
114.7752	62.7725
114.9276	59.4376
115.0800	58.7117
115.2324	55.7270
115.3848	56.9556
115.5372	59.8270
115.6896	65.2419
115.8420	65.0234
115.9944	61.1376
116.1468	58.8992
116.2992	56.7731
116.4516	58.7493
116.6040	57.6343
116.7564	58.5302
116.9088	57.9461
117.0612	60.7735
117.2136	64.3078
117.3660	68.1767
117.5184	61.1567
117.6708	59.9008
117.8232	57.9638
117.9756	64.8230
118.1280	68.8955
118.2804	69.6584
118.4328	64.3717
118.5852	59.3132
118.7376	56.9824
118.8900	56.3171
119.0424	57.3550
119.1948	59.6932
119.3472	61.2829
119.4996	59.9989
119.6520	62.2040
119.8044	63.1519
119.9568	61.4437
120.1092	60.2705
120.2616	60.9052
120.4140	60.0163
120.5664	57.3632
120.7188	59.5437
120.8712	64.3229
121.0236	65.3629
121.1760	62.1734
121.3284	59.9544
121.4808	63.2155
121.6332	65.4492
121.7856	65.0725
121.9380	62.3440
122.0904	57.9509
122.2428	57.7171
122.3952	55.1736
122.5476	55.0098
122.7000	53.9934
122.8524	55.3050
123.0048	55.1285
123.1572	54.2764
123.3096	53.8463
123.4620	57.8652
123.6144	58.0475
123.7668	58.4044
123.9192	57.6310
124.0716	58.4087
124.2240	57.7153
124.3764	54.1404
124.5288	54.1459
124.6812	55.5774
124.8336	58.3822
124.9860	59.8087
125.1384	61.9602
125.2908	61.4860
125.4432	65.4109
125.5956	65.6455
125.7480	68.5950
125.9004	62.6136
126.0528	59.2451
126.2052	57.5043
126.3576	65.2835
126.5100	65.4504
126.6624	63.3647
126.8148	60.0610
126.9672	62.1044
127.1196	66.8405
127.2720	65.4158
127.4244	64.0930
127.5768	64.0115
127.7292	64.0688
127.8816	64.9731
128.0340	58.6084
128.1864	60.9932
128.3388	57.5040
128.4912	60.3031
128.6436	57.3025
128.7960	60.4906
128.9484	59.9664
129.1008	62.5825
129.2532	58.4792
129.4056	59.5110
129.5580	58.9608
129.7104	65.8113
129.8628	64.6546
