HOLE:	1230A
LEG:	201
TOP:	75.5904
BOTTOM:	273.8628
DEPTH_WMSF	SGR	CGR	POTA	THOR	URAN	
m	gAPI	gAPI	%	ppm	ppm	
140.6652	43.6095	24.7666	0.6405	4.0565	2.1287
140.8176	46.6112	26.7182	0.6958	4.3517	2.2474
140.9700	49.7795	27.8783	0.7188	4.5771	2.4742
141.1224	50.5439	27.7932	0.7112	4.5906	2.5702
141.2748	49.4688	27.4997	0.7129	4.4954	2.4819
141.4272	47.2977	27.2693	0.7228	4.3773	2.2627
141.5796	44.4351	26.6939	0.7174	4.2350	2.0043
141.7320	43.0829	26.2043	0.7160	4.0981	1.9068
141.8844	43.8485	26.6436	0.7429	4.0914	1.9437
142.0368	47.2476	28.4827	0.7925	4.3824	2.1199
142.1892	48.1612	28.3367	0.7819	4.3929	2.2396
142.3416	46.9082	27.3699	0.7581	4.2283	2.2073
142.4940	47.3672	27.9279	0.7784	4.2900	2.1961
142.6464	48.5276	28.4521	0.7966	4.3526	2.2680
142.7988	46.9004	26.8204	0.7523	4.0959	2.2685
142.9512	45.8220	25.3021	0.7040	3.8928	2.3182
143.1036	46.5114	25.2904	0.6978	3.9211	2.3974
143.2560	45.7509	25.2423	0.6924	3.9340	2.3169
143.4084	45.9195	25.5008	0.6993	3.9751	2.3068
143.5608	46.5194	24.4292	0.6722	3.7966	2.4956
143.7132	45.3490	21.8473	0.6003	3.3999	2.6551
143.8656	43.9786	20.3365	0.5575	3.1712	2.6709
144.0180	44.6936	21.0186	0.5723	3.2974	2.6746
144.1704	45.0524	21.4235	0.5723	3.4167	2.6694
144.3228	45.2202	21.7449	0.5776	3.4843	2.6521
144.4752	44.5698	21.6095	0.5853	3.4057	2.5939
