HOLE:	1230A
LEG:	201
TOP:	81.0763
BOTTOM:	279.9583
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
167.1823	0.9457	0.9711	0.8687
167.3347	0.9459	0.9807	0.8661
167.4871	0.9455	0.9891	0.9039
167.6395	0.9455	0.9940	0.9282
167.7919	0.9458	0.9942	0.8932
167.9443	0.9473	0.9898	0.8601
168.0967	0.9502	0.9826	0.8672
168.2491	0.9517	0.9759	0.8699
168.4015	0.9526	0.9736	0.8743
168.5539	0.9536	0.9764	0.8667
168.7063	0.9544	0.9825	0.8728
168.8587	0.9578	0.9894	0.8864
169.0111	0.9629	0.9962	0.8912
169.1635	0.9649	1.0029	0.8861
169.3159	0.9695	1.0099	0.8912
169.4683	0.9719	1.0163	0.8909
169.6207	0.9788	1.0214	0.9251
169.7731	0.9851	1.0262	0.9756
169.9255	0.9875	1.0324	0.9189
170.0779	0.9917	1.0411	0.9191
170.2303	0.9990	1.0514	0.9505
170.3827	0.9992	1.0602	0.9523
170.5351	0.9957	1.0624	0.9338
170.6875	0.9820	1.0540	0.9467
170.8399	0.9802	1.0353	0.9620
170.9923	0.9789	1.0114	0.9393
171.1447	0.9773	0.9900	0.8964
171.2971	0.9760	0.9782	0.8968
171.4495	0.9579	0.9773	0.8727
171.6019	0.9523	0.9817	0.9721
171.7543	0.9503	0.9836	0.9766
171.9067	0.9509	0.9780	0.9731
172.0591	0.9509	0.9661	0.9712
172.2115	0.9555	0.9549	0.9015
172.3639	0.9564	0.9517	0.8648
172.5163	0.9533	0.9576	0.8650
172.6687	0.9483	0.9677	0.8965
172.8211	0.9482	0.9757	0.8912
172.9735	0.9443	0.9765	0.8913
173.1259	0.9466	0.9705	0.8916
173.2783	0.9493	0.9634	0.8842
173.4307	0.9559	0.9612	0.8841
173.5831	0.9658	0.9663	0.8747
173.7355	0.9697	0.9778	0.8715
173.8879	0.9718	0.9929	0.8706
174.0403	0.9742	1.0075	0.9042
174.1927	0.9852	1.0196	0.8988
174.3451	1.0021	1.0295	0.8793
174.4975	1.0025	1.0362	1.0036
174.6499	1.0000	1.0377	1.0335
174.8023	0.9991	1.0335	1.0332
174.9547	0.9957	1.0244	1.0393
175.1071	0.9874	1.0116	0.9985
175.2595	0.9833	0.9970	0.8498
175.4119	0.9711	0.9821	0.8507
175.5643	0.9603	0.9676	0.8837
175.7167	0.9563	0.9554	0.8874
175.8691	0.9548	0.9473	0.8750
176.0215	0.9428	0.9433	0.8549
176.1739	0.9454	0.9436	0.8563
176.3263	0.9474	0.9486	0.8601
176.4787	0.9561	0.9578	0.8639
176.6311	0.9636	0.9685	0.8668
176.7835	0.9740	0.9786	0.8664
176.9359	0.9886	0.9880	0.9006
177.0883	0.9978	0.9983	0.9577
177.2407	1.0071	1.0115	0.9639
177.3931	1.0186	1.0278	0.9378
177.5455	1.0266	1.0449	0.9335
177.6979	1.0338	1.0610	0.9410
177.8503	1.0553	1.0772	0.9485
178.0027	1.0661	1.0953	0.9560
178.1551	1.0693	1.1147	0.9663
178.3075	1.0793	1.1337	0.9949
178.4599	1.0801	1.1496	0.9996
178.6123	1.0705	1.1549	1.0337
178.7647	1.0658	1.1399	1.1081
178.9171	1.0629	1.1024	1.0531
179.0695	1.0595	1.0521	1.0394
179.2219	1.0385	1.0053	0.9833
179.3743	1.0153	0.9759	0.8647
179.5267	1.0113	0.9689	0.8561
179.6791	1.0033	0.9792	0.8464
179.8315	0.9951	0.9971	0.8450
179.9839	0.9935	1.0140	0.8441
180.1363	1.0021	1.0255	0.8942
180.2887	1.0037	1.0326	0.9843
180.4411	1.0034	1.0381	0.9904
180.5935	1.0008	1.0405	0.9865
