HOLE:	1230A
LEG:	201
TOP:	79.0956
BOTTOM:	261.9756
DEPTH_WMSF	DTCO	DT2	DTST	VCO	VS2	VST
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
123.5964	183.4623	688.0101	311.1369	1.6614	0.4430	0.9796
123.7488	182.7731	688.0101	359.2617	1.6677	0.4430	0.8484
123.9012	182.0850	688.0101	378.7583	1.6740	0.4430	0.8047
124.0536	181.3952	687.7626	371.3065	1.6803	0.4432	0.8209
124.2060	177.4876	687.5742	404.0050	1.7173	0.4433	0.7545
124.3584	179.3704	687.5742	321.0553	1.6993	0.4433	0.9494
124.5108	179.3238	687.1383	193.6539	1.6997	0.4436	1.5740
124.6632	178.6341	691.8032	191.0752	1.7063	0.4406	1.5952
124.8156	177.9450	690.3843	194.2041	1.7129	0.4415	1.5695
124.9680	177.2568	696.8621	194.0073	1.7196	0.4374	1.5711
125.1204	175.1814	710.4598	196.4881	1.7399	0.4290	1.5513
125.2728	175.1711	721.0699	192.6356	1.7400	0.4227	1.5823
125.4252	175.6721	724.1010	186.1228	1.7351	0.4209	1.6376
125.5776	175.6417	724.6257	187.0925	1.7354	0.4206	1.6292
125.7300	178.2718	724.6257	185.9619	1.7098	0.4206	1.6391
125.8824	180.9018	702.3589	185.4509	1.6849	0.4340	1.6436
126.0348	182.7374	646.6920	183.5084	1.6680	0.4713	1.6610
126.1872	182.0859	646.6920	184.4880	1.6740	0.4713	1.6522
126.3396	180.2713	676.2245	182.4985	1.6908	0.4507	1.6702
126.4920	178.4568	723.4767	189.8677	1.7080	0.4213	1.6053
126.6444	177.7164	729.3832	180.3165	1.7151	0.4179	1.6904
126.7968	175.3538	697.9062	185.0431	1.7382	0.4367	1.6472
126.9492	173.1105	514.5527	199.3061	1.7607	0.5924	1.5293
127.1016	170.1738	514.5527	231.5778	1.7911	0.5924	1.3162
127.2540	169.1214	514.5527	222.1895	1.8023	0.5924	1.3718
