HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
25.4503	5.4978	2.4219	0.0481	0.4920	0.4270	-0.1371
25.6027	5.8116	2.5007	0.0430	0.5469	0.4626	-0.1371
25.7551	6.5929	2.4992	0.0434	0.5438	0.5559	-0.1371
25.9075	7.1369	2.8067	0.0486	0.6117	0.6201	-0.1371
26.0599	7.4564	2.6729	0.0490	0.5667	0.6993	-0.1371
26.2123	7.1381	2.0547	0.0180	0.5508	0.7608	-0.1371
26.3647	7.2634	2.4079	0.0296	0.5955	0.7276	-0.1371
26.5171	6.3830	2.6836	0.0498	0.5655	0.5268	-0.1371
26.6695	6.9586	3.1307	0.0504	0.7049	0.5803	-0.1371
26.8219	6.4119	2.9534	0.0491	0.6558	0.5209	-0.1371
26.9743	6.8731	2.9785	0.0416	0.7077	0.5802	-0.1371
27.1267	6.2945	3.0858	0.0491	0.6979	0.5004	-0.1371
27.2791	6.3322	3.0077	0.0532	0.6487	0.5017	-0.1371
27.4315	6.4662	3.5713	0.0604	0.7866	0.4487	-0.1371
27.5839	6.4113	3.3982	0.0558	0.7582	0.4349	-0.1371
27.7363	5.6466	3.0013	0.0625	0.5925	0.3773	-0.1371
27.8887	5.3998	3.1882	0.0686	0.6163	0.3105	-0.1371
28.0411	5.3453	3.2959	0.0816	0.5747	0.3050	-0.1371
28.1935	5.8228	3.6744	0.0977	0.6015	0.3461	-0.1371
28.3459	5.6062	3.7610	0.1112	0.5503	0.2603	-0.1371
28.4983	5.8170	3.7908	0.1019	0.6140	0.2777	-0.1371
28.6507	6.0483	3.9794	0.1182	0.5789	0.2724	-0.1371
28.8031	6.6079	4.0826	0.1179	0.6135	0.3325	-0.1371
28.9555	6.3663	4.0522	0.1136	0.6292	0.3298	-0.1371
29.1079	6.5517	3.8497	0.1213	0.5193	0.4038	-0.1371
29.2603	6.5157	4.1570	0.1298	0.5676	0.3664	-0.1371
29.4127	6.4367	4.2085	0.1280	0.5947	0.3438	-0.1371
29.5651	6.3178	4.2577	0.1350	0.5694	0.3333	-0.1371
29.7175	6.7086	4.3688	0.1223	0.6794	0.3584	-0.1371
29.8699	7.0502	4.7676	0.1198	0.8209	0.3132	-0.1371
30.0223	6.8437	4.4000	0.1069	0.7790	0.3540	-0.1371
30.1747	6.6460	4.1274	0.1219	0.6044	0.3683	-0.1371
30.3271	6.6253	4.6225	0.1297	0.7169	0.2965	-0.1371
30.4795	6.3542	4.1092	0.1136	0.6474	0.3300	-0.1371
30.6319	5.1223	3.1388	0.0869	0.4938	0.2892	-0.1371
30.7843	4.6808	2.8642	0.0789	0.4530	0.2379	-0.1371
30.9367	4.9534	2.9150	0.0804	0.4604	0.2772	-0.1371
31.0891	5.7032	2.9226	0.0741	0.4999	0.3790	-0.1371
31.2415	5.5967	2.8095	0.0637	0.5243	0.3781	-0.1371
31.3939	5.2327	2.7799	0.0847	0.3919	0.3521	-0.1371
31.5463	5.1894	2.9864	0.0853	0.4541	0.3448	-0.1371
31.6987	5.4396	3.3157	0.0923	0.5184	0.3391	-0.1371
31.8511	5.6248	3.6302	0.0794	0.6945	0.3367	-0.1371
32.0035	6.0605	3.7754	0.0748	0.7678	0.4047	-0.1371
32.1559	6.4355	4.4997	0.0937	0.8886	0.3385	-0.1371
32.3083	7.0322	4.7701	0.0908	0.9917	0.3831	-0.1371
32.4607	7.1930	5.0695	0.1023	1.0201	0.4079	-0.1371
32.6131	6.4311	4.8856	0.0890	1.0392	0.3246	-0.1371
32.7655	5.8688	4.9327	0.0962	1.0121	0.2369	-0.1371
32.9179	5.3581	4.2884	0.0818	0.8904	0.2264	-0.1371
33.0703	5.6750	4.5156	0.0698	1.0337	0.2218	-0.1371
33.2227	5.6472	4.0229	0.0726	0.8598	0.2664	-0.1371
33.3751	5.4090	3.6569	0.0688	0.7653	0.2842	-0.1371
33.5275	5.3298	3.4763	0.0892	0.5879	0.2649	-0.1371
33.6799	4.7592	2.9879	0.0795	0.4887	0.2466	-0.1371
33.8323	4.5017	3.0471	0.0785	0.5137	0.1944	-0.1371
