HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
108.4400	5.25	529.17						
108.5900	5.25	529.10						
108.6200	5.23	529.24						
108.6400	5.21	529.45						
108.6500	5.22	529.31						
108.6500	5.23	529.38						
108.6500	5.21	529.31						
108.6500	5.23	529.17						
108.6700	5.23	529.10						
108.7000	5.22	529.38						
108.8100	5.23	529.38						
108.9100	5.22	529.45						
109.0200	5.21	529.17						
109.1400	5.23	529.17						
109.2400	5.21	529.31						
109.3300	5.24	529.52						
109.3800	5.22	529.38						
109.4000	5.23	529.45						
109.4200	5.24	529.38						
109.4500	5.21	529.31						
109.5400	5.23	529.17						
109.7100	5.19	529.38						
109.8500	5.22	529.45						
109.9000	5.21	529.52						
109.9400	5.22	529.31						
109.9800	5.20	529.45						
110.1000	5.22	529.45						
110.3200	5.22	529.59						
110.5400	5.22	529.45						
110.5900	5.21	529.45						
110.6100	5.22	529.45						
110.6300	5.23	529.31						
110.6400	5.23	529.31						
110.6500	5.22	529.31						
110.6700	5.22	529.45						
110.7700	5.22	529.66						
110.9400	5.21	529.79						
111.0900	5.22	529.59						
111.2300	5.22	529.52						
111.4100	5.22	529.52						
111.5500	5.20	529.66						
111.7000	5.24	529.59						
111.8300	5.23	529.52						
111.9900	5.21	529.52						
112.0800	5.22	529.45						
112.2000	5.22	529.52						
112.3200	5.24	529.45						
112.4500	5.21	529.59						
112.5300	5.22	529.72						
112.6100	5.23	529.59						
112.7300	5.21	529.66						
112.8700	5.20	529.79						
113.0800	5.22	529.66						
113.3000	5.22	529.66						
113.6100	5.20	529.59						
113.7500	5.21	529.79						
113.9500	5.23	529.79						
114.1700	5.22	529.79						
114.2500	5.21	529.52						
114.2900	5.21	529.52						
114.3200	5.23	529.52						
114.3400	5.22	529.86						
114.3500	5.21	529.93						
114.3500	5.20	529.66						
114.3600	5.22	529.66						
114.3600	5.23	529.66						
114.3600	5.23	529.86						
114.3600	5.21	530.00						
114.3600	5.23	529.86						
114.3500	5.21	529.86						
114.3400	5.19	529.79						
114.3400	5.22	529.93						
114.3300	5.22	530.07						
114.3200	5.22	530.07						
114.3100	5.24	529.93						
114.3500	5.19	529.79						
114.3100	5.24	529.86						
114.0300	5.21	530.00						
113.7800	5.24	530.14						
113.5900	5.21	530.00						
113.3700	5.21	530.14						
113.1300	5.22	530.00						
112.9800	5.21	530.07						
112.8300	5.21	529.93						
112.5700	5.22	530.07						
