HOLE:	1230A
LEG:	201
TOP:	87.0199
BOTTOM:	266.3947
DEPTH_WMSF	CALI
m	in
175.5643	16.1996
175.7167	16.1983
175.8691	16.1979
176.0215	16.2279
176.1739	16.5209
176.3263	16.6326
176.4787	16.6425
176.6311	16.6462
176.7835	16.6574
176.9359	16.8701
177.0883	17.0522
177.2407	17.0601
177.3931	17.0679
177.5455	17.0997
177.6979	17.1036
177.8503	17.1069
178.0027	17.1321
178.1551	17.0822
178.3075	17.0879
178.4599	17.1079
178.6123	17.1194
178.7647	17.1813
178.9171	17.1463
179.0695	17.1509
179.2219	17.1778
179.3743	17.2205
179.5267	17.2171
179.6791	17.2264
179.8315	17.2551
179.9839	17.2719
180.1363	17.5431
180.2887	17.7861
180.4411	17.7279
180.5935	17.4192
180.7459	17.3545
180.8983	17.2362
181.0507	17.2443
181.2031	17.2129
181.3555	17.2047
181.5079	17.1278
181.6603	17.2142
181.8127	17.4448
181.9651	17.4447
182.1175	17.4391
182.2699	17.4386
182.4223	17.4364
182.5747	17.4594
182.7271	17.5862
182.8795	17.5941
183.0319	17.5502
183.1843	17.5675
183.3367	17.5937
183.4891	18.1323
183.6415	18.2021
183.7939	17.9546
183.9463	17.6378
184.0987	17.5940
184.2511	17.8100
184.4035	17.9370
184.5559	18.0148
184.7083	18.0057
184.8607	18.0352
185.0131	18.1814
185.1655	18.2045
185.3179	18.2327
185.4703	18.1255
185.6227	18.1478
185.7751	18.1788
185.9275	18.1529
186.0799	18.0675
186.2323	18.0280
186.3847	18.1426
186.5371	18.2198
186.6895	18.2338
186.8419	18.2256
186.9943	18.2335
187.1467	18.2550
187.2991	18.2503
187.4515	18.2409
187.6039	18.2443
187.7563	18.2388
187.9087	18.2403
188.0611	18.2503
188.2135	18.2464
188.3659	18.2266
188.5183	18.2418
188.6707	18.2372
188.8231	18.2219
188.9755	18.2266
189.1279	18.2510
189.2803	18.2623
189.4327	18.2349
189.5851	18.2412
189.7375	18.2655
189.8899	18.2520
190.0423	18.2567
190.1947	18.2673
190.3471	18.2631
190.4995	18.1959
190.6519	18.0923
190.8043	18.1783
190.9567	18.2471
191.1091	18.2607
191.2615	18.2650
191.4139	18.2707
191.5663	18.2529
191.7187	18.2615
191.8711	18.2647
192.0235	18.2581
192.1759	18.2674
192.3283	18.2520
192.4807	18.2646
192.6331	18.2558
192.7855	18.2596
192.9379	18.2621
193.0903	18.2603
193.2427	18.2532
193.3951	18.2559
193.5475	18.2539
193.6999	18.2579
193.8523	18.2643
194.0047	18.2469
194.1571	18.2622
194.3095	18.2500
194.4619	18.2611
194.6143	18.2534
194.7667	18.2552
194.9191	18.2472
195.0715	18.2612
195.2239	18.2651
195.3763	18.2522
195.5287	18.2602
195.6811	18.2667
195.8335	18.2624
195.9859	18.2640
196.1383	18.2559
196.2907	18.2669
196.4431	18.2539
196.5955	18.2672
196.7479	18.2631
196.9003	18.2621
197.0527	18.2597
197.2051	18.2642
197.3575	18.2622
197.5099	18.2602
197.6623	18.2691
197.8147	18.2601
197.9671	18.2583
198.1195	18.2630
198.2719	18.2694
198.4243	18.2562
198.5767	18.2610
198.7291	18.2632
198.8815	18.2665
199.0339	18.2600
199.1863	18.2649
199.3387	18.2649
199.4911	18.2591
199.6435	18.2587
199.7959	18.2670
199.9483	18.2656
200.1007	18.2501
200.2531	18.2627
200.4055	18.2620
200.5579	18.2705
200.7103	18.2571
200.8627	18.2655
201.0151	18.2622
201.1675	18.2611
201.3199	18.2628
201.4723	18.2639
201.6247	18.2618
201.7771	18.2666
201.9295	18.2541
202.0819	18.2632
202.2343	18.2576
202.3867	18.2431
202.5391	18.2643
202.6915	18.2578
202.8439	18.2662
202.9963	18.2598
203.1487	18.2646
203.3011	18.2610
203.4535	18.2581
203.6059	18.2655
203.7583	18.2552
203.9107	18.2531
204.0631	18.2574
204.2155	18.2581
204.3679	18.2452
204.5203	18.2228
204.6727	18.2257
204.8251	18.2345
204.9775	18.2176
205.1299	18.1638
205.2823	18.1392
205.4347	18.2393
205.5871	18.1872
205.7395	17.8116
205.8919	18.1450
206.0443	18.2359
206.1967	17.9565
206.3491	17.5857
206.5015	17.5588
206.6539	17.5746
206.8063	17.8871
206.9587	18.1855
207.1111	17.7907
207.2635	18.1142
207.4159	18.0293
207.5683	17.8654
207.7207	18.0148
207.8731	18.1934
208.0255	18.2350
208.1779	18.2584
208.3303	18.2584
208.4827	18.2127
208.6351	18.2665
208.7875	18.2554
208.9399	18.2618
209.0923	18.2592
209.2447	18.2600
209.3971	18.2728
209.5495	18.2521
209.7019	18.2571
209.8543	18.2659
210.0067	18.2136
