HOLE:	1230A
LEG:	201
TOP:	80.1619
BOTTOM:	272.1859
DEPTH_WMSF	RHOB	DRHO	PEF
m	g/cm3	g/cm3	barns/e-
146.7607	1.5524	0.0211	2.6847
146.9131	1.5469	0.0155	2.6820
147.0655	1.5403	0.0103	2.7051
147.2179	1.5382	0.0108	2.7429
147.3703	1.5326	0.0146	2.7625
147.5227	1.5278	0.0272	2.7436
147.6751	1.5396	0.0537	2.7350
147.8275	1.5581	0.0769	2.7199
147.9799	1.5707	0.0738	2.6890
148.1323	1.5622	0.0522	2.6609
148.2847	1.5447	0.0267	2.6305
148.4371	1.5412	0.0238	2.6885
148.5895	1.5260	0.0129	2.7044
148.7419	1.5194	0.0082	2.6969
148.8943	1.5025	-0.0013	2.6742
149.0467	1.5073	0.0048	2.6621
149.1991	1.5293	0.0130	2.7154
149.3515	1.5442	0.0119	2.7593
149.5039	1.5657	0.0148	2.8256
149.6563	1.5615	0.0090	2.8383
149.8087	1.5655	0.0152	2.8141
149.9611	1.5596	0.0139	2.7518
150.1135	1.5591	0.0180	2.7058
150.2659	1.5481	0.0115	2.6594
150.4183	1.5461	0.0129	2.6585
150.5707	1.5475	0.0203	2.6297
150.7231	1.5644	0.0399	2.6399
150.8755	1.5833	0.0572	2.6512
151.0279	1.5648	0.0417	2.6447
151.1803	1.5338	0.0217	2.6097
151.3327	1.5008	0.0025	2.5931
151.4851	1.4994	-0.0021	2.6995
151.6375	1.5175	-0.0047	2.8173
151.7899	1.5541	0.0053	2.9089
151.9423	1.5700	0.0007	2.8808
152.0947	1.5794	0.0024	2.8714
152.2471	1.5816	0.0102	2.8152
152.3995	1.5783	0.0123	2.8013
152.5519	1.5746	0.0132	2.8302
152.7043	1.5685	0.0114	2.9029
152.8567	1.5611	0.0107	2.8980
153.0091	1.5515	0.0073	2.8486
153.1615	1.5403	0.0019	2.7368
153.3139	1.5279	-0.0005	2.7035
153.4663	1.5243	0.0032	2.6930
153.6187	1.5255	0.0071	2.7151
153.7711	1.5231	0.0023	2.6660
153.9235	1.5151	-0.0049	2.6767
154.0759	1.5188	-0.0049	2.6996
154.2283	1.5222	-0.0059	2.7458
154.3807	1.5341	0.0003	2.7095
154.5331	1.5336	-0.0002	2.6662
154.6855	1.5353	0.0039	2.6327
154.8379	1.5311	0.0032	2.6551
154.9903	1.5316	0.0047	2.7039
155.1427	1.5429	0.0114	2.7340
155.2951	1.5489	0.0171	2.7198
155.4475	1.5494	0.0219	2.6260
155.5999	1.5254	0.0127	2.6344
155.7523	1.5088	0.0086	2.6417
155.9047	1.4977	0.0069	2.6386
156.0571	1.4976	0.0160	2.5469
156.2095	1.4914	0.0144	2.4880
