HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
7.0345	7.8508	5.1269	2.8519	5.9319	4.6163
7.0650	5.1592	4.9930	2.4260	6.5187	4.8048
7.0954	5.0520	5.3093	2.9163	5.3962	4.8292
7.1259	5.4511	5.6358	2.3807	5.1006	4.8511
7.1564	4.3487	4.4326	2.5400	5.1360	4.7827
7.1869	4.5556	4.2704	2.1945	6.2085	4.7390
7.2174	4.8435	4.3439	2.0364	5.2267	4.7024
7.2478	4.9460	3.9622	3.1067	4.8742	4.7043
7.2783	5.2305	4.5439	1.8101	4.7399	4.6472
7.3088	5.0283	3.8649	1.8123	4.5479	4.5856
7.3393	4.1566	3.6187	1.7701	4.4632	4.5924
7.3698	4.7790	4.5960	1.8049	4.7753	4.5773
7.4002	4.7580	3.4926	1.9630	4.4994	4.5398
7.4307	4.2154	3.4152	2.1012	4.7743	4.5114
7.4612	4.3827	3.3433	1.9779	4.7538	4.5301
7.4917	4.1962	3.2005	2.3635	4.5185	4.5275
7.5222	3.7487	3.4102	2.0243	4.4853	4.5204
7.5526	4.4283	3.4357	2.0227	4.2349	4.4445
7.5831	3.9085	3.1700	1.9191	4.1199	4.4168
7.6136	3.7662	3.9794	2.0279	4.0967	4.4033
7.6441	3.5615	3.3270	2.0577	4.1830	4.3326
7.6746	3.8477	3.1823	1.9085	4.0514	4.3253
7.7050	4.1296	3.0154	1.8045	4.4269	4.2280
7.7355	4.0823	3.0527	1.8587	4.2975	4.2260
7.7660	3.6688	3.0564	1.8143	3.9742	4.3205
7.7965	4.4540	3.0112	1.9012	3.9098	4.3738
7.8270	4.3194	2.7686	2.2300	3.8627	4.3791
7.8574	3.9283	3.3855	2.1902	4.1795	4.2419
7.8879	3.8400	3.4112	2.4584	4.0880	4.2820
7.9184	3.9950	3.6955	2.3595	4.0561	4.4440
7.9489	3.9351	4.1823	2.1116	4.5323	4.3508
7.9794	4.1483	3.9555	2.3719	4.4246	4.4473
8.0098	4.5030	4.4756	2.4396	4.4460	4.3759
8.0403	4.4633	3.8818	2.1848	4.5863	4.4880
8.0708	3.9564	3.4995	2.1175	4.2410	4.2556
8.1013	4.4196	3.2929	2.2751	4.5835	4.5274
8.1318	4.1119	4.1437	2.2678	4.3892	4.4813
8.1622	3.9065	3.3968	2.1066	4.8603	4.7191
8.1927	4.4373	3.5410	2.0774	4.6587	4.3471
8.2232	4.0281	3.4691	2.3963	4.4549	4.4206
8.2537	4.1852	3.6792	2.3616	3.8665	4.6801
8.2842	4.2898	3.5726	2.1859	4.6726	4.4714
8.3146	4.9833	3.4983	2.2751	4.3637	4.7804
8.3451	4.4585	3.5835	2.1432	4.8459	4.5226
8.3756	4.5690	3.4445	2.1667	4.2394	4.7118
8.4061	4.5058	4.0630	2.2458	4.6461	4.7255
8.4366	4.9800	3.8291	2.2345	4.6364	4.6458
8.4670	4.5899	3.5319	2.0536	4.6584	4.9595
8.4975	4.5081	3.6249	1.9023	4.3186	4.8787
