HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	64.0016
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
33.8264	1.5300	0.0202	0.0626	3.3562
33.9788	1.5383	0.0209	0.0629	3.3428
34.1312	1.5387	0.0199	0.0575	3.3356
34.2836	1.5380	0.0202	0.0633	3.3757
34.4360	1.5289	0.0132	0.0897	3.2469
34.5884	1.5142	0.0077	0.1162	3.2292
34.7408	1.5041	0.0075	0.1581	3.1908
34.8932	1.4987	0.0115	0.1665	3.2560
35.0456	1.5108	0.0223	0.1228	3.3053
35.1980	1.5240	0.0277	0.0594	3.3065
35.3504	1.5308	0.0332	0.0329	3.4066
35.5028	1.5319	0.0328	0.0517	3.3479
35.6552	1.5352	0.0376	0.0509	3.4030
35.8076	1.5427	0.0354	0.0424	3.2772
35.9600	1.5491	0.0360	0.0386	3.1937
36.1124	1.5554	0.0311	0.0472	3.0311
36.2648	1.5616	0.0314	0.0342	3.0968
36.4172	1.5670	0.0284	0.0569	3.3280
36.5696	1.5547	0.0218	0.0544	3.4780
36.7220	1.5385	0.0092	0.0520	3.3975
36.8744	1.5355	0.0078	0.0323	3.1667
37.0268	1.5513	0.0171	0.0600	3.0670
37.1792	1.5641	0.0237	0.0887	3.0750
37.3316	1.5646	0.0214	0.1232	3.0604
37.4840	1.5572	0.0119	0.0882	3.0811
37.6364	1.5605	0.0103	0.0565	2.9520
37.7888	1.5671	0.0156	0.0266	3.0071
37.9412	1.5645	0.0183	0.0193	3.1191
38.0936	1.5574	0.0174	0.0515	3.2888
38.2460	1.5516	0.0100	0.0945	3.2928
38.3984	1.5494	0.0074	0.1149	3.3307
38.5508	1.5554	0.0079	0.1118	3.3373
38.7032	1.5472	0.0072	0.1099	3.2748
38.8556	1.5471	0.0082	0.1024	3.1300
39.0080	1.5431	0.0070	0.1169	3.1239
39.1604	1.5523	0.0112	0.0829	3.0584
39.3128	1.5482	0.0082	0.0726	3.1348
39.4652	1.5579	0.0109	0.0328	3.2166
39.6176	1.5751	0.0151	0.0528	3.4016
39.7700	1.6066	0.0212	0.0804	3.5264
39.9224	1.6314	0.0169	0.1011	3.4813
40.0748	1.6550	0.0100	0.0909	3.3712
40.2272	1.6713	0.0155	0.0616	3.3399
40.3796	1.6691	0.0229	0.0260	3.3832
40.5320	1.6300	0.0182	0.0080	3.4406
40.6844	1.5903	0.0062	0.0246	3.3824
40.8368	1.5606	-0.0023	0.0235	3.4139
40.9892	1.5500	-0.0036	0.0441	3.4951
41.1416	1.5449	-0.0079	0.0659	3.3784
41.2940	1.5486	-0.0094	0.0719	3.2603
41.4464	1.5549	-0.0087	0.0965	3.1943
41.5988	1.5638	0.0005	0.0892	3.2056
41.7512	1.5486	0.0003	0.1013	3.0713
41.9036	1.5503	0.0064	0.1169	2.8683
42.0560	1.5370	-0.0025	0.0958	2.6068
42.2084	1.5383	-0.0004	0.0476	2.8070
42.3608	1.5318	-0.0013	0.0461	2.9224
42.5132	1.5458	0.0125	0.1141	3.1909
42.6656	1.5490	0.0126	0.1392	3.0553
42.8180	1.5431	0.0123	0.1128	3.0588
42.9704	1.5381	0.0132	0.0760	3.0296
43.1228	1.5322	0.0121	0.0697	3.1195
43.2752	1.5411	0.0156	0.0858	3.1267
43.4276	1.5411	0.0153	0.0685	3.0874
43.5800	1.5478	0.0166	0.0732	2.9571
43.7324	1.5514	0.0146	0.0983	2.9115
43.8848	1.5672	0.0214	0.1060	2.9845
44.0372	1.5811	0.0309	0.1024	3.2388
44.1896	1.5947	0.0312	0.0801	3.3451
44.3420	1.5896	0.0223	0.0902	3.3923
44.4944	1.5901	0.0184	0.1052	3.2498
44.6468	1.5845	0.0195	0.1129	3.1609
44.7992	1.5888	0.0243	0.0914	3.0811
44.9516	1.5862	0.0198	0.0914	3.0232
45.1040	1.5829	0.0162	0.1227	3.0072
45.2564	1.5775	0.0114	0.1161	2.9467
45.4088	1.5780	0.0112	0.0739	3.0226
45.5612	1.5837	0.0159	0.0563	3.2357
45.7136	1.5808	0.0170	0.0457	3.3475
45.8660	1.5720	0.0172	0.0435	3.3877
46.0184	1.5697	0.0151	0.1027	3.4189
46.1708	1.5674	0.0138	0.1457	3.5177
46.3232	1.5612	0.0148	0.1384	3.4329
46.4756	1.5442	0.0160	0.0677	3.1415
46.6280	1.5345	0.0245	0.0657	3.0466
46.7804	1.5260	0.0241	0.1050	3.0277
46.9328	1.5272	0.0267	0.1065	3.2620
47.0852	1.5179	0.0246	0.1090	3.2383
47.2376	1.4916	0.0209	0.1168	3.2701
47.3900	1.4712	0.0187	0.0923	3.1564
47.5424	1.4801	0.0155	0.0932	3.1051
47.6948	1.5177	0.0241	0.0887	3.1438
47.8472	1.5465	0.0275	0.0965	3.2526
47.9996	1.5483	0.0342	0.0855	3.3541
48.1520	1.5356	0.0358	0.0686	3.3818
48.3044	1.5314	0.0372	0.0581	3.3500
48.4568	1.5420	0.0432	0.0375	3.3877
48.6092	1.5490	0.0411	0.0429	3.2986
48.7616	1.5538	0.0366	0.0467	3.2494
48.9140	1.5525	0.0283	0.0654	3.2010
49.0664	1.5561	0.0260	0.0639	3.2756
49.2188	1.5624	0.0268	0.0498	3.3397
49.3712	1.5611	0.0173	0.0408	3.2747
49.5236	1.5669	0.0205	0.0201	3.2948
49.6760	1.5633	0.0197	0.0403	3.2952
49.8284	1.5669	0.0253	0.0861	3.2874
49.9808	1.5683	0.0165	0.1152	3.1148
50.1332	1.5819	0.0171	0.0566	3.0863
50.2856	1.5977	0.0235	0.0330	3.2177
50.4380	1.6129	0.0294	0.1480	3.3814
50.5904	1.6158	0.0318	0.1858	3.5004
50.7428	1.6270	0.0360	0.1694	3.4278
50.8952	1.6323	0.0320	0.1057	3.4292
51.0476	1.6400	0.0268	0.0676	3.2934
51.2000	1.6310	0.0169	0.0652	3.2732
51.3524	1.6257	0.0125	0.0645	3.1925
51.5048	1.6178	0.0134	0.0780	3.2714
51.6572	1.6101	0.0091	0.1102	3.3298
51.8096	1.6093	0.0136	0.1364	3.2946
51.9620	1.6044	0.0141	0.1542	3.2725
52.1144	1.6153	0.0221	0.1207	3.2391
52.2668	1.6230	0.0234	0.1103	3.2876
52.4192	1.6217	0.0233	0.1133	3.3090
52.5716	1.6095	0.0208	0.1180	3.2627
52.7240	1.5864	0.0151	0.0769	3.3413
52.8764	1.5792	0.0110	0.0515	3.3349
53.0288	1.5836	0.0108	0.0622	3.4277
53.1812	1.6030	0.0087	0.0698	3.2971
53.3336	1.6358	0.0153	0.0614	3.4178
53.4860	1.6619	0.0121	0.0695	3.2869
53.6384	1.6777	0.0169	0.0986	3.4312
53.7908	1.6706	0.0068	0.1157	3.1678
53.9432	1.6637	0.0022	0.1076	3.2227
54.0956	1.6623	-0.0033	0.0642	3.2094
54.2480	1.6799	0.0072	0.0616	3.3406
54.4004	1.6835	0.0133	0.0492	3.3253
54.5528	1.6821	0.0191	0.0795	3.3594
54.7052	1.6565	0.0134	0.0970	3.3297
54.8576	1.6500	0.0157	0.1068	3.2257
55.0100	1.6513	0.0250	0.0777	3.2342
55.1624	1.6636	0.0319	0.0612	3.1929
55.3148	1.6725	0.0421	0.0533	3.4400
55.4672	1.6647	0.0308	0.0625	3.2689
55.6196	1.6532	0.0234	0.0596	3.4037
55.7720	1.6453	0.0135	0.0810	3.2726
55.9244	1.6431	0.0093	0.0895	3.2738
56.0768	1.6477	0.0114	0.0559	3.1043
56.2292	1.6476	0.0161	0.0282	3.0609
56.3816	1.6503	0.0271	0.0664	2.9989
56.5340	1.6444	0.0252	0.0859	3.0923
56.6864	1.6482	0.0265	0.0917	3.1337
56.8388	1.6474	0.0254	0.0505	3.2015
56.9912	1.6567	0.0362	0.0396	3.1918
57.1436	1.6451	0.0343	0.0644	3.1797
57.2960	1.6455	0.0348	0.0933	3.2091
57.4484	1.6493	0.0394	0.0788	3.2466
57.6008	1.6539	0.0381	0.0454	3.1077
57.7532	1.6560	0.0347	0.0341	2.9645
57.9056	1.6606	0.0326	0.0641	2.8730
58.0580	1.6665	0.0395	0.0683	3.0965
58.2104	1.6695	0.0391	0.0746	3.1189
58.3628	1.6667	0.0313	0.0776	3.1524
58.5152	1.6730	0.0303	0.0463	3.0474
58.6676	1.6867	0.0460	0.0431	3.3360
58.8200	1.6845	0.0468	0.0444	3.2762
58.9724	1.6829	0.0431	0.0513	3.2562
59.1248	1.6804	0.0290	0.0718	3.0598
59.2772	1.6848	0.0226	0.0798	3.1083
59.4296	1.6855	0.0197	0.0584	3.0609
59.5820	1.6900	0.0233	0.0548	3.2580
59.7344	1.6987	0.0238	0.0429	3.4145
59.8868	1.6963	0.0195	0.0719	3.5099
60.0392	1.6901	0.0095	0.1165	3.2629
60.1916	1.6866	0.0106	0.1483	3.1936
60.3440	1.6970	0.0163	0.1167	3.1156
60.4964	1.7128	0.0258	0.0625	3.1973
60.6488	1.7144	0.0264	0.0403	3.2097
60.8012	1.7229	0.0312	0.0695	3.3962
60.9536	1.7237	0.0343	0.1192	3.4522
61.1060	1.7233	0.0365	0.1797	3.4398
61.2584	1.7216	0.0407	0.1443	3.2643
61.4108	1.7091	0.0467	0.1213	3.1426
61.5632	1.7088	0.0542	0.0920	3.1306
61.7156	1.6937	0.0483	0.0970	3.2071
61.8680	1.6921	0.0395	0.1225	3.3081
62.0204	1.6961	0.0342	0.1376	3.1730
62.1728	1.7123	0.0379	0.1497	3.0813
62.3252	1.7311	0.0426	0.1369	2.9426
62.4776	1.7303	0.0415	0.1204	3.0613
62.6300	1.7213	0.0360	0.0931	2.9662
62.7824	1.7084	0.0322	0.0909	2.9635
62.9348	1.7109	0.0285	0.0966	2.9293
63.0872	1.7221	0.0258	0.1352	2.9320
63.2396	1.7448	0.0329	0.1220	2.9704
63.3920	1.7722	0.0403	0.1453	2.9901
63.5444	1.7775	0.0432	0.1223	3.0764
63.6968	1.7739	0.0401	0.1392	3.0081
63.8492	1.7504	0.0331	0.1244	3.0127
64.0016	1.7464	0.0342	0.1046	3.0686
