HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	91.4336
DEPTH_LSF	ROP5	GRTK	B3TM	B2TM	B1TM	RTIM	RBTM	DTAB	NTAB	RPM	ARPM
m	m/hr	s	s	s	s	s	s	s	s	rpm	rpm	
19.3484	16.5749	1387.7656	1492.5938	1547.5156	1567.4844	1467.6406	279.5469	6619.3906	6779.1406	27.0000	52.0000
19.5008	16.4259	1392.7656	1497.5938	1537.5312	1552.5156	1457.6562	279.5469	6609.4062	6764.1562	30.0001	50.2000
19.6532	16.2325	1397.7656	1502.5938	1522.5625	1537.5312	1462.6562	279.5469	6599.4219	6754.1719	36.7307	42.7500
19.8056	16.0425	1382.7812	1487.6250	1507.5938	1522.5625	1467.6562	284.5469	6584.4375	6739.1875	38.1470	50.0000
19.9580	16.0425	1377.7812	1467.6406	1492.6094	1512.5781	1452.6719	279.5469	6564.4688	6719.2188	37.0000	54.3333
20.1104	15.9028	1392.7656	1457.6562	1487.6094	1512.5625	1437.6875	284.5312	6554.5000	6709.2500	35.0001	55.0000
20.2628	15.8568	1377.7969	1447.6875	1482.6250	1507.5781	1422.7188	289.5312	6534.5312	6694.2812	36.4360	54.0000
20.4152	15.8111	1362.8281	1442.6875	1477.6406	1502.5938	1407.7500	289.5469	6514.5625	6669.3125	30.2203	54.0000
20.5676	13.3819	1342.8438	1437.6875	1487.6094	1517.5625	1402.7500	1018.3594	5785.7344	5945.4688	28.2307	49.0000
20.7200	13.8889	1327.8750	1432.7031	1492.6094	1507.5938	1397.7656	998.4062	5785.7188	5945.4688	41.5796	46.8000
20.8724	14.3620	1317.8906	1447.6719	1472.6406	1492.6094	1392.7656	988.4062	5785.7344	5945.4844	38.6964	51.5000
21.0248	14.6696	1317.8906	1437.7031	1462.6562	1487.6250	1407.7500	983.4219	5770.7500	5930.4844	34.0000	53.7500
21.1772	14.2131	1312.8906	1422.7188	1457.6562	1477.6250	1402.7500	993.4062	5750.7812	5915.5156	32.0001	51.0000
21.3296	14.2140	1327.8750	1417.7344	1447.6719	1467.6406	1382.7812	1003.3906	5725.8281	5885.5625	38.9999	53.8000
21.4820	14.2131	1322.8906	1407.7500	1437.7031	1462.6562	1382.7969	988.4219	5730.8125	5885.5625	34.2014	53.0000
21.6344	14.7883	1307.9062	1397.7500	1442.6875	1462.6562	1372.7969	978.4219	5730.8125	5890.5625	34.0001	50.8000
21.7868	15.0316	569.0938	663.9375	708.8750	733.8281	629.0000	249.6094	5700.8750	5860.6094	40.9996	53.5000
21.9392	14.5142	574.0781	673.9219	718.8438	748.7969	633.9844	264.5781	5700.8750	5860.6094	32.4823	53.7500
22.0916	18.3477	574.0781	688.8906	738.8125	773.7500	653.9531	259.5781	5710.8438	5865.5938	36.0002	55.6000
